timestamp,position,gt_position,action,gt_action,response_time,sync,is_action_correct,is_position_correct
1633934663.930184,1 2 3,1 3 2,Dab,jamesbond,5.169473886489868,1633934664436.727,False,False
1633935355.870317,1 2 3,3 2 1,Dab,jamesbond,46.56458806991577,104.83551025390625,False,False
1633935562.931835,1 2 3,1 2 3,Dab,mermaid,13.41704511642456,0,False,True
1633935567.776004,1 2 3,1 3 2,Dab,jamesbond,4.831777095794678,0,False,False
1633935572.905601,1 2 3,3 2 1,Dab,mermaid,5.113725900650024,0,False,False
1633935577.8907032,1 2 3,3 2 1,Dab,dab,4.970146179199219,0,False,False
1633935582.761696,1 2 3,2 3 1,Dab,mermaid,4.856557130813599,0,False,False
1633935587.7557042,1 2 3,2 3 1,Dab,mermaid,4.9732160568237305,0,False,False
1633935593.021494,1 2 3,1 2 3,Dab,dab,5.252853870391846,0,False,True
1633935598.008555,1 2 3,2 1 3,Dab,jamesbond,4.962851047515869,0,False,False
1633935602.89448,1 2 3,3 1 2,Dab,dab,4.861809968948364,0,False,False
1633935607.979777,1 2 3,2 1 3,Dab,dab,5.067721128463745,0,False,False
1633935612.763094,1 2 3,1 2 3,Dab,jamesbond,4.771228790283203,0,False,True
1633935618.006769,1 2 3,2 3 1,Dab,jamesbond,5.235918998718262,0,False,False
1633952701.6541781,3 1 2,1 3 2,Dab,jamesbond,24.638662338256836,1633952702588.344,False,False
1633952706.623362,3 1 2,3 1 2,Dab,dab,4.963756084442139,1633952707589.6912,False,True
1633952711.622902,3 2 1,1 2 3,Dab,mermaid,4.997370958328247,1633952712590.0413,False,False
1633952716.609628,3 1 2,2 1 3,Dab,jamesbond,4.983758926391602,1633952717591.8281,False,False
1633952721.622512,2 1 3,3 1 2,Dab,dab,5.008274078369141,1633952722593.319,False,False
1633952726.633607,1 3 2,2 1 3,Dab,dab,5.007006883621216,1633952727597.2961,False,False
1633952731.637593,2 1 3,2 3 1,Dab,jamesbond,4.999340057373047,1633952732598.227,False,False
1633952736.636814,1 2 3,3 1 2,Dab,dab,4.994024276733398,1633952737598.9092,False,False
1633952741.6450639,2 3 1,3 2 1,Dab,jamesbond,5.001465797424316,1633952742600.5762,False,False
1633952746.638877,1 3 2,1 2 3,Dab,mermaid,4.983437776565552,1633952747601.192,False,False
1634017961.949812,2 3 1,2 1 3,Dab,jamesbond,9.628081798553467,0,False,False
1634017966.924884,3 2 1,1 2 3,Dab,dab,4.97194504737854,0,False,False
1634017971.917032,2 3 1,2 1 3,Dab,jamesbond,4.989560842514038,0,False,False
1634017976.9356081,2 1 3,1 2 3,Dab,mermaid,5.01442813873291,0,False,False
1634017981.92492,2 3 1,1 3 2,Dab,jamesbond,4.9863622188568115,0,False,False
1634017986.9264781,2 1 3,2 3 1,Dab,mermaid,4.997290134429932,0,False,False
1634017991.944124,1 3 2,3 1 2,Dab,mermaid,5.013782024383545,0,False,False
1634017996.931694,2 1 3,2 1 3,Dab,dab,4.982528924942017,0,False,True
1634018001.943719,1 2 3,2 3 1,Dab,mermaid,5.007542848587036,0,False,False
1634018006.941198,3 1 2,1 2 3,Dab,dab,4.992639064788818,0,False,False
1634018456.741856,2 3 1,1 3 2,Dab,mermaid,4.883413076400757,0,False,False
1634018461.709562,2 3 1,2 1 3,Dab,dab,4.964879989624023,0,False,False
1634018466.731414,2 1 3,1 2 3,Dab,dab,5.020092010498047,0,False,False
1634018471.7290812,1 2 3,1 2 3,Dab,mermaid,4.995212078094482,0,False,True
1634018476.7404869,1 3 2,2 1 3,Dab,jamesbond,5.008993625640869,0,False,False
1634018481.715654,1 2 3,2 1 3,Dab,mermaid,4.972938060760498,0,False,False
1634018486.729631,2 1 3,1 3 2,Dab,jamesbond,5.011765003204346,0,False,False
1634018491.7339149,2 1 3,1 2 3,Dab,dab,5.002099990844727,0,False,False
1634018496.742014,1 3 2,1 3 2,Dab,dab,5.005548000335693,0,False,True
1634018501.745305,1 2 3,2 3 1,Dab,mermaid,5.00048828125,0,False,False
1634018506.7502139,2 1 3,2 1 3,Dab,jamesbond,5.001635789871216,0,False,True
1634018511.754281,2 3 1,1 2 3,Dab,jamesbond,5.000645875930786,0,False,False
